method,micro_f1,macro_f1,precision_micro,recall_micro,hamming_loss,subset_accuracy,fit_seconds,predict_seconds,latency_ms_per_sample,threshold_strategy,threshold,micro_f1_ci_low,micro_f1_ci_high,macro_f1_ci_low,macro_f1_ci_high,bootstrap_iterations,seed
trained_roberta,0.49382351856631884,0.43264860651345166,0.46989473684210525,0.5203201491957417,0.04689143950263032,0.3225251076040172,0.0,100.43616466596723,9.606519815013604,per_label,per_label,0.4862619571422782,0.5009815856780698,0.42220136071815756,0.44235835350752095,200,42
roberta_weighted_focal,0.4796494256689463,0.4381746203642809,0.4187097896018084,0.5613489781645815,0.05354239256678281,0.24323290291726446,0.0,100.11617133393884,9.575913087894676,per_label,per_label,0.4728471064663222,0.4858743154683289,0.4275699107940268,0.4479216016402219,200,42
roberta_class_balanced_focal,0.46936258600545244,0.4559500236193629,0.40299838377082986,0.5618929209728806,0.05585160893625743,0.22812051649928264,0.0,100.54044754104689,9.616494265045135,per_label,per_label,0.4615314685327943,0.47578649123250294,0.44609212155924877,0.4663443583526819,200,42
trained_distilbert,0.4685846899423228,0.4044758708050661,0.4177823758519961,0.5334524827103893,0.053190544510487124,0.25815399330463895,0.0,57.35749154211953,5.486130228801486,per_label,per_label,0.46133955682163663,0.4755405865173585,0.3954435751310455,0.4141146860467034,200,42
tfidf_logreg,0.3729554905282612,0.34319122668217256,0.308940600122474,0.4704328230631751,0.0695395231263237,0.1423242467718795,4.673425250221044,0.14454400027170777,0.013825346750043786,not_applicable,not_applicable,0.3666774874679288,0.37898167328569665,0.3339108534751077,0.3535017000233602,200,42
tfidf_svm,0.3474385831270234,0.298656769096389,0.34072911997609445,0.3544175926645427,0.058526337364213976,0.16805356288857007,8.617128583136946,0.1492122495546937,0.014271855528904228,not_applicable,not_applicable,0.3402197108176947,0.3542643656051858,0.2887813680280208,0.30722540466759785,200,42
lexicon,0.2968309007338118,0.23815365662029558,0.30847230369563394,0.28603621104980964,0.05957504953200792,0.2391200382592061,1.5827827155590057e-06,0.29170612478628755,0.02790111188773673,not_applicable,not_applicable,0.28804788594625047,0.3042264989328373,0.22675230772492336,0.24773429409773753,200,42
tfidf_nb,0.1294049682264587,0.08349211976564662,0.3719557195571956,0.0783277643950579,0.04633121541299447,0.06188426590148254,0.956220000050962,0.19005512492731214,0.01817839549759083,not_applicable,not_applicable,0.1223667682927399,0.13652202270625455,0.0781214048972117,0.08908176328652098,200,42
dummy_majority,0.0,0.0,0.0,0.0,0.043960511033681766,0.0,0.05140395788475871,0.0014020409435033798,0.00013410243362060067,not_applicable,not_applicable,0.0,0.0,0.0,0.0,200,42
