emotion,true_positive,false_positive,false_negative,over_prediction_ratio,miss_rate
neutral,1239,1201,877,0.49221311475409835,0.41446124763705106
approval,411,758,588,0.6484174508126604,0.5885885885885885
confusion,263,560,153,0.6804374240583232,0.36778846153846156
curiosity,397,519,155,0.5665938864628821,0.2807971014492754
annoyance,249,517,421,0.674934725848564,0.6283582089552239
disapproval,298,457,334,0.6052980132450331,0.5284810126582279
admiration,643,333,383,0.3411885245901639,0.3732943469785575
disappointment,128,326,286,0.7180616740088106,0.6908212560386473
anger,211,273,226,0.5640495867768595,0.517162471395881
amusement,399,252,142,0.3870967741935484,0.26247689463955637
joy,218,233,243,0.516629711751663,0.527114967462039
excitement,117,222,193,0.6548672566371682,0.6225806451612903
caring,133,222,173,0.6253521126760564,0.565359477124183
realization,87,218,375,0.7147540983606557,0.8116883116883117
disgust,120,206,171,0.6319018404907976,0.5876288659793815
love,364,196,115,0.35,0.24008350730688935
optimism,186,170,268,0.47752808988764045,0.5903083700440529
sadness,182,146,204,0.4451219512195122,0.5284974093264249
surprise,160,145,173,0.47540983606557374,0.5195195195195195
gratitude,545,113,126,0.1717325227963526,0.18777943368107303
fear,97,105,80,0.5198019801980198,0.4519774011299435
remorse,90,104,41,0.5360824742268041,0.31297709923664124
desire,83,96,101,0.5363128491620112,0.5489130434782609
relief,9,65,68,0.8783783783783784,0.8831168831168831
embarrassment,30,52,93,0.6341463414634146,0.7560975609756098
pride,18,28,58,0.6086956521739131,0.7631578947368421
nervousness,17,23,88,0.575,0.8380952380952381
grief,2,14,38,0.875,0.95
