emotion,threshold
admiration,0.5
amusement,0.5
anger,0.30000000000000004
annoyance,0.25
approval,0.2
caring,0.25
confusion,0.15000000000000002
curiosity,0.25
desire,0.2
disappointment,0.2
disapproval,0.25
disgust,0.2
embarrassment,0.15000000000000002
excitement,0.2
fear,0.35000000000000003
gratitude,0.35000000000000003
grief,0.05
joy,0.25
love,0.5
nervousness,0.2
optimism,0.35000000000000003
pride,0.05
realization,0.2
relief,0.1
remorse,0.25
sadness,0.35000000000000003
surprise,0.30000000000000004
neutral,0.25
