emotion_a,emotion_b,predicted_cooccurrence_count
confusion,curiosity,492
approval,neutral,374
anger,annoyance,305
confusion,neutral,219
curiosity,neutral,209
disapproval,neutral,182
disappointment,sadness,109
approval,realization,100
realization,neutral,94
excitement,joy,85
annoyance,disapproval,82
joy,relief,56
admiration,gratitude,56
annoyance,neutral,51
annoyance,disappointment,48
admiration,approval,46
annoyance,disgust,42
approval,caring,42
gratitude,joy,42
amusement,joy,41
caring,neutral,40
approval,optimism,40
admiration,curiosity,39
disappointment,disapproval,37
excitement,surprise,37
curiosity,surprise,37
confusion,disapproval,35
admiration,love,34
remorse,sadness,32
amusement,gratitude,30
gratitude,optimism,29
caring,optimism,26
fear,nervousness,26
excitement,neutral,25
admiration,joy,24
disgust,embarrassment,23
admiration,excitement,23
desire,neutral,22
amusement,curiosity,22
disappointment,realization,22
curiosity,excitement,21
admiration,pride,20
amusement,approval,19
disgust,fear,18
disappointment,disgust,18
joy,pride,18
gratitude,love,18
admiration,optimism,18
approval,curiosity,17
gratitude,relief,17
approval,confusion,17
approval,joy,17
curiosity,remorse,17
grief,sadness,16
joy,love,16
admiration,amusement,15
anger,disgust,15
annoyance,approval,14
approval,relief,14
desire,love,13
amusement,love,13
optimism,remorse,13
curiosity,love,13
disappointment,neutral,13
approval,disapproval,12
excitement,gratitude,12
amusement,confusion,12
disapproval,disgust,12
confusion,remorse,11
curiosity,gratitude,11
approval,gratitude,11
approval,love,11
disappointment,embarrassment,10
gratitude,pride,10
approval,excitement,10
caring,remorse,9
embarrassment,remorse,9
pride,relief,9
curiosity,joy,9
confusion,surprise,8
caring,love,8
approval,disappointment,8
confusion,realization,8
gratitude,remorse,7
admiration,surprise,7
desire,optimism,7
disappointment,remorse,6
joy,optimism,6
curiosity,sadness,6
surprise,neutral,6
anger,neutral,6
annoyance,confusion,6
caring,gratitude,6
anger,disapproval,5
excitement,love,5
amusement,realization,5
love,optimism,5
desire,excitement,5
sadness,neutral,5
admiration,confusion,5
confusion,gratitude,5
amusement,neutral,4
caring,relief,4
annoyance,caring,4
approval,desire,4
confusion,embarrassment,4
curiosity,optimism,4
desire,joy,4
optimism,pride,4
annoyance,curiosity,4
amusement,optimism,4
curiosity,embarrassment,4
anger,curiosity,4
curiosity,desire,4
admiration,desire,4
realization,remorse,4
desire,sadness,4
amusement,disapproval,3
confusion,sadness,3
disapproval,love,3
fear,gratitude,3
anger,gratitude,3
excitement,optimism,3
amusement,remorse,3
admiration,realization,3
approval,fear,3
approval,pride,3
confusion,optimism,3
realization,surprise,3
optimism,surprise,3
curiosity,fear,3
love,sadness,3
embarrassment,realization,3
desire,disappointment,3
grief,remorse,3
gratitude,surprise,3
admiration,fear,2
fear,sadness,2
fear,optimism,2
amusement,desire,2
admiration,relief,2
admiration,remorse,2
admiration,disgust,2
optimism,sadness,2
amusement,embarrassment,2
embarrassment,sadness,2
admiration,neutral,2
confusion,disappointment,2
desire,gratitude,2
caring,joy,2
disappointment,love,2
curiosity,disgust,2
approval,disgust,2
disappointment,optimism,2
anger,love,2
annoyance,embarrassment,2
caring,disapproval,2
confusion,fear,2
love,realization,1
approval,nervousness,1
approval,remorse,1
approval,surprise,1
joy,surprise,1
joy,sadness,1
joy,remorse,1
love,remorse,1
confusion,disgust,1
optimism,relief,1
admiration,disappointment,1
pride,remorse,1
realization,relief,1
caring,sadness,1
confusion,love,1
relief,remorse,1
sadness,surprise,1
confusion,excitement,1
caring,fear,1
annoyance,optimism,1
annoyance,remorse,1
fear,neutral,1
disgust,neutral,1
disgust,optimism,1
anger,disappointment,1
amusement,sadness,1
disapproval,surprise,1
disapproval,remorse,1
fear,grief,1
disapproval,gratitude,1
anger,optimism,1
amusement,excitement,1
anger,approval,1
gratitude,nervousness,1
disappointment,grief,1
annoyance,desire,1
gratitude,sadness,1
annoyance,love,1
grief,love,1
desire,remorse,1
admiration,sadness,1
grief,surprise,1
embarrassment,fear,1
